Item,Location,Date,target,p5,p20,p40,p50,p60,p80,p95,mape,mase,rmsle,smape
Los Angeles,America,2022-04-17,19.257142857142856,16.6102938287517,19.029734046333864,20.127093638637287,20.478438014499083,21.6449047783227,24.265978402700874,27.456561077671896,11.193579965857525,1.0421352910756794,0.13923752595157624,11.59415026497907
Bogota,America,2022-04-17,14.314285714285715,12.958175669397036,13.471322724957012,13.906432315992587,14.088406139837865,14.168251881801554,14.43196024557839,14.845194034596105,3.488861254244086,1.1580225150197774,0.04063339461129306,3.525315284067706
Calgary,America,2022-04-17,-1.6142857142857143,-18.5528136690729,2.1266957570155394,7.6235653073489225,9.576618877630274,12.43855995148102,16.42167017120225,18.78257412241887,1506.3588876777087,1.4921452044937202,,119.24187591200909
Vancouver,America,2022-04-17,5.757142857142857,5.203843474839903,8.041710706597158,10.675373293603133,11.61061083107959,11.739078511729492,14.76463597463989,17.87245759352156,101.09254773344405,1.478771441531541,,47.88879883580766
Sao Paulo,America,2022-04-17,19.014285714285712,17.147900433849745,19.131799738463652,19.62376038375886,19.805920489994286,20.569773228266396,22.5628832131119,24.00655732458312,6.9573415245131445,0.780077090576957,0.07498010534611727,6.817538991733785
Washington,America,2022-04-17,24.12857142857143,9.377488993434966,15.870709347712902,17.167549304718058,20.636999513889187,24.481559778850976,25.423416305436476,28.254384494319908,40.179837955590166,1.0803826305043212,0.36663908866338857,28.51920246492198
Hamburg,Europe,2022-04-17,9.585714285714285,3.6635191968645384,7.613991448841138,9.324884831583285,10.10401303682648,10.425720043456215,12.738483763756257,16.61100835351002,68.15929219851172,1.024783561993345,,42.47185550239024
Paris,Europe,2022-04-17,15.171428571428573,8.046066956853931,8.433569666139062,12.491443031460479,14.439149185216227,15.027178100369557,15.89634603235531,18.935926669700926,42.23038549966915,1.253369996985593,0.3770497974366254,35.43976280807558
Madrid,Europe,2022-04-17,15.299999999999999,9.456915382895788,10.80823015373721,15.502216549767722,16.27419204405195,17.681212713055128,18.107117065176336,22.000541813207516,32.01063276231957,1.1197478053414622,0.29330226356895167,27.992620932060632
Roma,Europe,2022-04-17,14.1,11.580816268110055,13.608201112189835,15.328943013665342,15.854224368426614,18.790255335935516,21.789205615391136,24.087788790929338,27.597308556915962,1.304127681267342,0.2565216969957479,22.86418132649586
Reykjavic,Europe,2022-04-17,7.071428571428571,1.0164817663732886,2.768854246629777,4.245957908828692,4.31464812219182,6.375322881889878,7.80021919525927,9.328793345817962,857.6414326856662,1.3607683011229434,,103.26017317353427
Dublin,Europe,2022-04-17,10.542857142857143,5.725009319356911,7.274018698565587,8.88344067868861,9.297278876869974,10.425128336697979,13.263367457521472,18.17250077920316,24.462432725627256,0.9109513258482699,0.25785989036074697,23.259694527968534
Sydney,Oceania,2022-04-17,19.271428571428572,14.56841864476324,16.903845156627035,18.39322134046464,19.33615429125852,20.42406839751216,22.21157062143416,24.294621614630852,5.117583465772755,0.7253386799373702,0.060257491412952335,5.128948621412729
Cape Town,Africa,2022-04-17,17.857142857142858,12.200673527311189,14.661578236737432,16.898117694732008,18.032918092319967,18.977238556736037,21.046351671091227,22.994720625789544,8.637974429898826,1.4832168501152034,0.10085089288566611,9.098222627908731
Shanghai,Asia,2022-04-24,19.099999999999998,12.242623926693922,14.741648205316595,17.770064764694737,19.059257853958435,20.943762536453804,26.591574840284796,27.16398096581805,75.35847329476847,2.43002263039625,0.5483844142130639,46.99217514244242
